Country,Powerplant Name,gppd_idnr,Capacity (MW),Latitude,Longitude,Primary Fuel,Owner,Source
Argentina,CT LA RIOJA DELIVERY,ARG0000190,19.2,-29.3811,-66.8325,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT LA RIOJA SUR,ARG0000191,10.0,-29.3808,-66.8319,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT LAGUNA BLANCA,ARG0000153,7.0,-25.1286,-58.2597,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT LAS ARMAS,ARG0000024,10.4,-37.0781,-57.8181,Gas,GENNEIA SA,Ministerio de Energía y Minería
Argentina,CT LAS ARMAS II,ARG0000025,23.37,-37.0781,-57.8181,Gas,GENNEIA SA,Ministerio de Energía y Minería
Argentina,CT LAS PALMAS,ARG0000066,6.0,-27.0289,-58.6997,Oil,TURBODISEL SA,Ministerio de Energía y Minería
Argentina,CT LIBERTADOR GENERAL SAN MARTIN,ARG0000170,15.0,-40.8421,-68.0869,Oil,SULLAIR ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT LINCOLN,ARG0000036,15.002,-34.8578,-61.5206,Oil,SOENERGY ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT LOBOS,ARG0000041,15.686,-35.1917,-59.0808,Oil,SULLAIR ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT MAGDALENA,ARG0000005,25.0,-35.1001,-57.4839,Oil,APR ENERGY SRL,Ministerio de Energía y Minería
Argentina,CT MATHEU,ARG0000163,41.0,-34.3931,-58.8372,Gas,GENNEIA SA,Ministerio de Energía y Minería
Argentina,CT MEDANITOS (RINCON DE LOS SAUCES),ARG0000258,32.0,-37.4102,-68.9,Oil,MEDANITO SA,Ministerio de Energía y Minería
Argentina,CT MIRAMAR I,ARG0000022,20.0,-38.2472,-57.8242,Oil,ENERGYST RENTAL SOLUTIONS ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT OLAVARRIA,ARG0000026,38.8,-36.9439,-60.2361,Gas,GENNEIA SA,Ministerio de Energía y Minería
Argentina,CT ORAN,ARG0000286,15.0,-23.1258,-64.3069,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT PARANA,ARG0000148,40.0,-31.7764,-60.4553,Gas,GENNEIA SA,Ministerio de Energía y Minería
Argentina,CT PARQUE INDUSTRIAL CATAMARCA,ARG0000056,15.0,-28.5339,-65.7997,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT PASO DE LA PATRIA,ARG0000141,7.2,-27.3236,-58.5667,Oil,TURBODISEL SA,Ministerio de Energía y Minería
Argentina,CT PEHUAJO,ARG0000037,22.4,-35.8336,-61.8758,Oil,SOENERGY ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT PINAMAR,ARG0000027,21.0,-37.0953,-56.8789,Gas,GENNEIA SA,Ministerio de Energía y Minería
Argentina,CT PIRANE,ARG0000154,16.25,-25.6786,-59.0756,Oil,SULLAIR ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT PLUSPETROL NORTE,ARG0000337,246.0,-26.9955,-65.166,Gas,GENERADORA ELÉCTRICA TUCUMÁN SA,Ministerio de Energía y Minería
Argentina,CT RAFAELA,ARG0000315,19.2,-31.2567,-61.5203,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT REALICO,ARG0000184,24.0,-35.055,-64.2406,Oil,INDUSTRIAS JUAN F. SECCO,Ministerio de Energía y Minería
Argentina,CT ROCA,ARG0000262,130.0,-31.8919,-60.0106,Gas,CENTRAL TERMICA ROCA S.A.- ALBANESI S.A,Ministerio de Energía y Minería
Argentina,CT SAENZ PEÑA  I,ARG0000062,20.0,-26.8156,-60.4114,Oil,APR ENERGY SRL,Ministerio de Energía y Minería
Argentina,CT SAENZ PEÑA  II,ARG0000060,15.0,-26.8153,-60.4125,Oil,AGGREKO ARGENTINA SRL,Ministerio de Energía y Minería
Argentina,CT SALTO,ARG0000038,22.5,-27.4597,-65.6055,Oil,SOENERGY ARGENTINA SA,Ministerio de Energía y Minería
Argentina,CT SAN MARTIN NORTE III,ARG0000161,5.1,-34.5252,-58.6206,Oil,ENARSA,Ministerio de Energía y Minería
Argentina,CT SAN MIGUEL DE TUCUMAN,ARG0000341,396.62,-26.9955,-65.166,Gas,YPF ENERGIA ELECTRICA S.A.,Ministerio de Energía y Minería
